stem,image_path,n_det_conf25,roya_conf25,coco_conf25,minador_conf25,n_det_conf50,roya_conf50,coco_conf50,minador_conf50
SANAS_NUEVAS_313,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_313.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_314,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_314.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_316,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_316.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_318,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_318.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_319,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_319.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_380,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_380.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_381,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_381.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_382,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_382.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_383,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_383.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_384,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_384.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_386,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_386.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_387,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_387.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_388,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_388.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_389,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_389.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_391,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_391.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_392,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_392.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_393,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_393.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_394,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_394.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_395,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_395.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_396,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_396.jpg,1,0,0,1,1,0,0,1
SANAS_NUEVAS_398,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_398.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_399,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_399.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_41,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_41.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_44,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_44.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_45,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_45.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_46,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_46.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_47,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_47.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_48,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_48.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_52,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_52.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_520,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_520.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_521,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_521.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_522,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_522.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_523,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_523.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_524,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_524.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_529,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_529.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_530,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_530.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_531,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_531.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_532,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_532.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_536,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_536.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_537,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_537.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_538,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_538.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_539,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_539.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_55,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_55.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_56,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_56.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_57,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_57.jpg,1,1,0,0,1,1,0,0
SANAS_NUEVAS_58,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_58.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_100,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_100.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_101,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_101.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_103,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_103.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_104,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_104.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_106,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_106.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_108,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_108.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_110,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_110.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_112,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_112.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_113,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_113.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_114,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_114.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_115,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_115.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_116,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_116.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_117,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_117.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_118,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_118.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_119,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_119.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_120,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_120.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_121,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_121.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_123,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_123.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_125,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_125.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_126,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_126.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_127,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_127.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_129,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_129.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_131,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_131.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_132,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_132.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_134,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_134.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_135,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_135.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_136,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_136.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_137,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_137.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_200,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_200.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_201,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_201.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_202,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_202.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_205,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_205.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_206,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_206.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_208,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_208.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_209,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_209.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_211,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_211.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_212,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_212.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_213,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_213.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_215,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_215.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_216,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_216.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_217,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_217.jpg,1,0,0,1,0,0,0,0
SANAS_SOCORRO_219,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_219.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_380,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_380.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_381,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_381.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_382,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_382.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_384,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_384.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_385,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_385.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_386,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_386.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_388,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_388.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_390,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_390.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_392,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_392.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_393,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_393.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_394,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_394.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_395,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_395.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_396,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_396.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_397,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_397.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_398,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_398.jpg,1,0,1,0,1,0,1,0
SANAS_SOCORRO_399,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_399.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_311,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_311.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_312,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_312.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_315,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_315.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_397,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_397.jpg,1,0,0,1,0,0,0,0
SANAS_NUEVAS_40,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_40.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_42,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_42.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_43,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_43.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_50,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_50.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_525,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_525.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_526,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_526.jpg,0,0,0,0,0,0,0,0
