stem,split_old,split_new,prefix,number,source,roya,coco,minador,group_root
COCO_M_A_64,val,val,COCO_M_A,64,own_field,0,20,0,COCO_RECORTE_47
COCO_M_A_65,val,val,COCO_M_A,65,own_field,1,15,0,COCO_RECORTE_47
COCO_M_A_66,test,val,COCO_M_A,66,own_field,0,2,0,COCO_RECORTE_47
COCO_M_A_67,train,val,COCO_M_A,67,own_field,0,12,0,COCO_RECORTE_47
COCO_M_A_68,train,val,COCO_M_A,68,own_field,0,17,0,COCO_RECORTE_47
COCO_M_A_69,train,val,COCO_M_A,69,own_field,0,13,0,COCO_RECORTE_47
COCO_M_A_7,val,test,COCO_M_A,7,own_field,0,10,0,COCO_M_A_12
COCO_M_A_70,train,val,COCO_M_A,70,own_field,2,9,0,COCO_RECORTE_47
COCO_M_A_71,train,val,COCO_M_A,71,own_field,1,13,0,COCO_RECORTE_47
COCO_M_A_72,train,val,COCO_M_A,72,own_field,0,14,0,COCO_RECORTE_47
COCO_M_A_73,train,val,COCO_M_A,73,own_field,0,18,0,COCO_RECORTE_47
COCO_M_A_74,train,val,COCO_M_A,74,own_field,0,15,0,COCO_RECORTE_47
COCO_M_A_75,train,val,COCO_M_A,75,own_field,0,17,0,COCO_RECORTE_47
COCO_M_A_78,train,val,COCO_M_A,78,own_field,0,8,0,COCO_RECORTE_47
COCO_M_A_79,train,val,COCO_M_A,79,own_field,0,11,0,COCO_RECORTE_47
COCO_M_A_8,train,test,COCO_M_A,8,own_field,0,6,0,COCO_M_A_12
COCO_M_A_80,train,test,COCO_M_A,80,own_field,0,14,0,COCO_RECORTE_53
COCO_M_A_81,test,test,COCO_M_A,81,own_field,0,16,0,COCO_RECORTE_53
COCO_M_A_82,train,test,COCO_M_A,82,own_field,0,8,0,COCO_RECORTE_53
COCO_M_A_83,train,test,COCO_M_A,83,own_field,0,6,0,COCO_RECORTE_53
COCO_M_A_84,val,test,COCO_M_A,84,own_field,0,19,0,COCO_RECORTE_53
COCO_M_A_85,train,test,COCO_M_A,85,own_field,0,16,0,COCO_RECORTE_53
COCO_M_A_86,train,test,COCO_M_A,86,own_field,2,11,0,COCO_RECORTE_53
COCO_M_A_87,train,test,COCO_M_A,87,own_field,1,11,0,COCO_RECORTE_53
COCO_M_A_88,train,test,COCO_M_A,88,own_field,0,7,0,COCO_RECORTE_53
COCO_M_A_89,test,test,COCO_M_A,89,own_field,1,16,0,COCO_RECORTE_53
COCO_M_A_9,val,test,COCO_M_A,9,own_field,0,13,0,COCO_M_A_12
COCO_M_A_90,test,test,COCO_M_A,90,own_field,0,16,0,COCO_RECORTE_53
COCO_M_A_91,val,test,COCO_M_A,91,own_field,0,10,0,COCO_RECORTE_53
COCO_M_A_93,train,test,COCO_M_A,93,own_field,1,16,0,COCO_RECORTE_53
COCO_M_A_94,train,test,COCO_M_A,94,own_field,0,15,0,COCO_RECORTE_53
COCO_M_A_95,train,test,COCO_M_A,95,own_field,0,10,0,COCO_RECORTE_53
COCO_M_A_96,test,test,COCO_M_A,96,own_field,0,13,0,COCO_RECORTE_53
COCO_M_A_97,train,test,COCO_M_A,97,own_field,2,12,0,COCO_RECORTE_53
COCO_M_A_98,train,test,COCO_M_A,98,own_field,0,4,0,COCO_RECORTE_53
COCO_M_A_99,train,test,COCO_M_A,99,own_field,1,16,0,COCO_RECORTE_53
COCO_Muy_A_1,train,train,COCO_Muy_A,1,own_field,3,31,0,COCO_RECORTE_136
COCO_Muy_A_10,val,train,COCO_Muy_A,10,own_field,0,17,0,COCO_RECORTE_136
COCO_Muy_A_100,train,train,COCO_Muy_A,100,own_field,2,41,0,COCO_RECORTE_124
COCO_Muy_A_101,train,train,COCO_Muy_A,101,own_field,0,43,0,COCO_RECORTE_124
COCO_Muy_A_102,train,train,COCO_Muy_A,102,own_field,0,24,0,COCO_RECORTE_124
COCO_Muy_A_103,val,train,COCO_Muy_A,103,own_field,0,23,0,COCO_RECORTE_124
COCO_Muy_A_104,val,train,COCO_Muy_A,104,own_field,0,40,0,COCO_RECORTE_124
COCO_Muy_A_105,train,train,COCO_Muy_A,105,own_field,0,22,0,COCO_RECORTE_124
COCO_Muy_A_106,train,train,COCO_Muy_A,106,own_field,0,14,0,COCO_RECORTE_124
COCO_Muy_A_107,train,train,COCO_Muy_A,107,own_field,0,44,0,COCO_RECORTE_124
COCO_Muy_A_108,train,train,COCO_Muy_A,108,own_field,0,11,0,COCO_RECORTE_124
COCO_Muy_A_109,train,train,COCO_Muy_A,109,own_field,2,35,0,COCO_RECORTE_124
COCO_Muy_A_11,train,train,COCO_Muy_A,11,own_field,0,14,0,COCO_RECORTE_136
COCO_Muy_A_110,train,train,COCO_Muy_A,110,own_field,3,18,0,COCO_RECORTE_124
COCO_Muy_A_112,val,train,COCO_Muy_A,112,own_field,3,29,0,COCO_RECORTE_124
COCO_Muy_A_114,train,train,COCO_Muy_A,114,own_field,1,29,0,COCO_RECORTE_124
COCO_Muy_A_12,train,train,COCO_Muy_A,12,own_field,1,19,0,COCO_RECORTE_136
COCO_Muy_A_13,train,train,COCO_Muy_A,13,own_field,2,31,0,COCO_RECORTE_136
COCO_Muy_A_14,val,train,COCO_Muy_A,14,own_field,0,23,0,COCO_RECORTE_136
COCO_Muy_A_15,train,train,COCO_Muy_A,15,own_field,0,58,0,COCO_RECORTE_136
COCO_Muy_A_16,train,train,COCO_Muy_A,16,own_field,1,41,0,COCO_RECORTE_136
COCO_Muy_A_19,test,train,COCO_Muy_A,19,own_field,0,16,0,COCO_RECORTE_136
COCO_Muy_A_2,train,train,COCO_Muy_A,2,own_field,0,54,0,COCO_RECORTE_136
COCO_Muy_A_20,train,train,COCO_Muy_A,20,own_field,0,24,0,COCO_RECORTE_155
COCO_Muy_A_21,train,train,COCO_Muy_A,21,own_field,0,59,0,COCO_RECORTE_155
COCO_Muy_A_22,train,train,COCO_Muy_A,22,own_field,0,34,0,COCO_RECORTE_155
COCO_Muy_A_23,train,train,COCO_Muy_A,23,own_field,0,44,0,COCO_RECORTE_155
COCO_Muy_A_24,train,train,COCO_Muy_A,24,own_field,0,23,0,COCO_RECORTE_155
COCO_Muy_A_25,train,train,COCO_Muy_A,25,own_field,0,24,0,COCO_RECORTE_155
COCO_Muy_A_26,train,train,COCO_Muy_A,26,own_field,0,14,0,COCO_RECORTE_155
COCO_Muy_A_27,train,train,COCO_Muy_A,27,own_field,3,28,0,COCO_RECORTE_155
COCO_Muy_A_28,test,train,COCO_Muy_A,28,own_field,0,38,0,COCO_RECORTE_155
COCO_Muy_A_3,train,train,COCO_Muy_A,3,own_field,0,25,0,COCO_RECORTE_136
COCO_Muy_A_31,train,train,COCO_Muy_A,31,own_field,5,41,0,COCO_RECORTE_155
COCO_Muy_A_34,test,train,COCO_Muy_A,34,own_field,1,18,0,COCO_RECORTE_155
COCO_Muy_A_35,train,train,COCO_Muy_A,35,own_field,2,37,0,COCO_RECORTE_155
COCO_Muy_A_36,train,train,COCO_Muy_A,36,own_field,0,42,0,COCO_RECORTE_155
COCO_Muy_A_39,test,train,COCO_Muy_A,39,own_field,0,57,0,COCO_RECORTE_155
COCO_Muy_A_43,train,val,COCO_Muy_A,43,own_field,0,15,0,COCO_RECORTE_58
COCO_Muy_A_44,train,val,COCO_Muy_A,44,own_field,0,53,0,COCO_RECORTE_58
COCO_Muy_A_45,train,val,COCO_Muy_A,45,own_field,0,78,0,COCO_RECORTE_58
COCO_Muy_A_49,train,val,COCO_Muy_A,49,own_field,0,15,0,COCO_RECORTE_58
COCO_Muy_A_5,train,train,COCO_Muy_A,5,own_field,0,24,0,COCO_RECORTE_136
COCO_Muy_A_50,train,val,COCO_Muy_A,50,own_field,0,8,0,COCO_RECORTE_58
COCO_Muy_A_52,train,val,COCO_Muy_A,52,own_field,0,23,0,COCO_RECORTE_58
COCO_Muy_A_53,train,val,COCO_Muy_A,53,own_field,0,43,0,COCO_RECORTE_58
COCO_Muy_A_54,test,val,COCO_Muy_A,54,own_field,3,19,0,COCO_RECORTE_58
COCO_Muy_A_55,test,val,COCO_Muy_A,55,own_field,2,16,0,COCO_RECORTE_58
COCO_Muy_A_56,train,val,COCO_Muy_A,56,own_field,0,26,0,COCO_RECORTE_58
COCO_Muy_A_57,train,val,COCO_Muy_A,57,own_field,2,14,0,COCO_RECORTE_58
COCO_Muy_A_58,val,val,COCO_Muy_A,58,own_field,0,31,0,COCO_RECORTE_58
COCO_Muy_A_59,val,val,COCO_Muy_A,59,own_field,0,26,0,COCO_RECORTE_58
COCO_Muy_A_60,train,train,COCO_Muy_A,60,own_field,2,22,0,COCO_RECORTE_86
COCO_Muy_A_62,train,train,COCO_Muy_A,62,own_field,0,22,0,COCO_RECORTE_86
COCO_Muy_A_64,train,train,COCO_Muy_A,64,own_field,0,38,0,COCO_RECORTE_86
COCO_Muy_A_65,val,train,COCO_Muy_A,65,own_field,1,25,0,COCO_RECORTE_86
COCO_Muy_A_66,train,train,COCO_Muy_A,66,own_field,0,41,0,COCO_RECORTE_86
COCO_Muy_A_67,train,train,COCO_Muy_A,67,own_field,0,15,0,COCO_RECORTE_86
COCO_Muy_A_68,train,train,COCO_Muy_A,68,own_field,0,22,0,COCO_RECORTE_86
COCO_Muy_A_69,train,train,COCO_Muy_A,69,own_field,1,30,0,COCO_RECORTE_86
COCO_Muy_A_70,test,train,COCO_Muy_A,70,own_field,2,31,0,COCO_RECORTE_86
COCO_Muy_A_71,train,train,COCO_Muy_A,71,own_field,0,15,0,COCO_RECORTE_86
COCO_Muy_A_72,train,train,COCO_Muy_A,72,own_field,0,18,0,COCO_RECORTE_86
COCO_Muy_A_73,train,train,COCO_Muy_A,73,own_field,0,26,0,COCO_RECORTE_86
COCO_Muy_A_74,train,train,COCO_Muy_A,74,own_field,0,35,0,COCO_RECORTE_86
COCO_Muy_A_75,train,train,COCO_Muy_A,75,own_field,3,45,0,COCO_RECORTE_86
COCO_Muy_A_76,val,train,COCO_Muy_A,76,own_field,1,24,0,COCO_RECORTE_86
COCO_Muy_A_77,train,train,COCO_Muy_A,77,own_field,0,27,0,COCO_RECORTE_86
COCO_Muy_A_78,train,train,COCO_Muy_A,78,own_field,0,19,0,COCO_RECORTE_86
COCO_Muy_A_8,train,train,COCO_Muy_A,8,own_field,0,14,0,COCO_RECORTE_136
COCO_Muy_A_80,test,train,COCO_Muy_A,80,own_field,0,15,0,COCO_RECORTE_121
COCO_Muy_A_81,train,train,COCO_Muy_A,81,own_field,1,33,0,COCO_RECORTE_121
COCO_Muy_A_82,test,train,COCO_Muy_A,82,own_field,3,31,0,COCO_RECORTE_121
COCO_Muy_A_83,train,train,COCO_Muy_A,83,own_field,0,26,0,COCO_RECORTE_121
COCO_Muy_A_85,val,train,COCO_Muy_A,85,own_field,2,70,0,COCO_RECORTE_121
COCO_Muy_A_86,train,train,COCO_Muy_A,86,own_field,0,21,0,COCO_RECORTE_121
COCO_Muy_A_87,train,train,COCO_Muy_A,87,own_field,3,31,0,COCO_RECORTE_121
COCO_Muy_A_88,train,train,COCO_Muy_A,88,own_field,0,41,0,COCO_RECORTE_121
COCO_Muy_A_89,train,train,COCO_Muy_A,89,own_field,0,28,0,COCO_RECORTE_121
COCO_Muy_A_9,train,train,COCO_Muy_A,9,own_field,0,20,0,COCO_RECORTE_136
COCO_Muy_A_91,train,train,COCO_Muy_A,91,own_field,0,13,0,COCO_RECORTE_121
COCO_Muy_A_92,train,train,COCO_Muy_A,92,own_field,0,28,0,COCO_RECORTE_121
COCO_Muy_A_93,train,train,COCO_Muy_A,93,own_field,0,32,0,COCO_RECORTE_121
COCO_Muy_A_94,val,train,COCO_Muy_A,94,own_field,1,42,0,COCO_RECORTE_121
COCO_Muy_A_95,test,train,COCO_Muy_A,95,own_field,0,18,0,COCO_RECORTE_121
COCO_Muy_A_96,train,train,COCO_Muy_A,96,own_field,0,19,0,COCO_RECORTE_121
COCO_Muy_A_98,val,train,COCO_Muy_A,98,own_field,0,50,0,COCO_RECORTE_121
COCO_Muy_A_99,train,train,COCO_Muy_A,99,own_field,0,36,0,COCO_RECORTE_121
COCO_P_A_1,train,val,COCO_P_A,1,own_field,0,12,0,COCO_P_A_2
COCO_P_A_10,test,val,COCO_P_A,10,own_field,0,9,0,COCO_P_A_2
COCO_P_A_11,test,val,COCO_P_A,11,own_field,0,6,0,COCO_P_A_2
COCO_P_A_12,test,val,COCO_P_A,12,own_field,0,10,0,COCO_P_A_2
COCO_P_A_13,test,val,COCO_P_A,13,own_field,0,3,0,COCO_P_A_2
COCO_P_A_14,train,val,COCO_P_A,14,own_field,0,10,0,COCO_P_A_2
COCO_P_A_15,train,val,COCO_P_A,15,own_field,0,5,0,COCO_P_A_2
COCO_P_A_16,train,val,COCO_P_A,16,own_field,0,10,0,COCO_P_A_2
COCO_P_A_17,test,val,COCO_P_A,17,own_field,0,2,0,COCO_P_A_2
COCO_P_A_18,train,val,COCO_P_A,18,own_field,0,3,0,COCO_P_A_2
COCO_P_A_19,test,val,COCO_P_A,19,own_field,0,3,0,COCO_P_A_2
COCO_P_A_2,val,val,COCO_P_A,2,own_field,0,6,0,COCO_P_A_2
COCO_P_A_20,train,train,COCO_P_A,20,own_field,1,13,0,COCO_P_A_43
COCO_P_A_21,train,train,COCO_P_A,21,own_field,0,5,0,COCO_P_A_43
COCO_P_A_22,train,train,COCO_P_A,22,own_field,0,5,0,COCO_P_A_43
COCO_P_A_23,val,train,COCO_P_A,23,own_field,0,24,0,COCO_P_A_43
COCO_P_A_24,train,train,COCO_P_A,24,own_field,0,2,0,COCO_P_A_43
COCO_P_A_25,train,train,COCO_P_A,25,own_field,0,4,0,COCO_P_A_43
COCO_P_A_26,train,train,COCO_P_A,26,own_field,1,15,0,COCO_P_A_43
COCO_P_A_27,train,train,COCO_P_A,27,own_field,1,13,0,COCO_P_A_43
COCO_P_A_28,val,train,COCO_P_A,28,own_field,0,2,0,COCO_P_A_43
COCO_P_A_29,val,train,COCO_P_A,29,own_field,0,12,0,COCO_P_A_43
COCO_P_A_3,train,val,COCO_P_A,3,own_field,0,5,0,COCO_P_A_2
COCO_P_A_30,test,train,COCO_P_A,30,own_field,0,2,0,COCO_P_A_43
COCO_P_A_31,train,train,COCO_P_A,31,own_field,0,11,0,COCO_P_A_43
COCO_P_A_32,train,train,COCO_P_A,32,own_field,0,6,0,COCO_P_A_43
COCO_P_A_33,test,train,COCO_P_A,33,own_field,0,7,0,COCO_P_A_43
COCO_P_A_34,train,train,COCO_P_A,34,own_field,0,5,0,COCO_P_A_43
COCO_P_A_35,train,train,COCO_P_A,35,own_field,0,6,0,COCO_P_A_43
COCO_P_A_36,train,train,COCO_P_A,36,own_field,0,2,0,COCO_P_A_43
COCO_P_A_37,train,train,COCO_P_A,37,own_field,0,9,0,COCO_P_A_43
COCO_P_A_38,val,train,COCO_P_A,38,own_field,0,6,0,COCO_P_A_43
COCO_P_A_39,test,train,COCO_P_A,39,own_field,1,8,0,COCO_P_A_43
COCO_P_A_4,val,val,COCO_P_A,4,own_field,1,5,0,COCO_P_A_2
COCO_P_A_40,train,train,COCO_P_A,40,own_field,0,9,0,COCO_P_A_43
COCO_P_A_41,train,train,COCO_P_A,41,own_field,1,12,0,COCO_P_A_43
COCO_P_A_42,train,train,COCO_P_A,42,own_field,0,5,0,COCO_P_A_43
COCO_P_A_43,train,train,COCO_P_A,43,own_field,1,23,0,COCO_P_A_43
COCO_P_A_44,train,train,COCO_P_A,44,own_field,0,9,0,COCO_P_A_43
COCO_P_A_45,train,train,COCO_P_A,45,own_field,0,4,0,COCO_P_A_43
COCO_P_A_46,train,train,COCO_P_A,46,own_field,0,3,0,COCO_P_A_43
COCO_P_A_47,train,train,COCO_P_A,47,own_field,0,10,0,COCO_P_A_43
COCO_P_A_48,test,train,COCO_P_A,48,own_field,2,7,0,COCO_P_A_43
COCO_P_A_49,val,train,COCO_P_A,49,own_field,0,9,0,COCO_P_A_43
COCO_P_A_5,val,val,COCO_P_A,5,own_field,0,4,0,COCO_P_A_2
COCO_P_A_50,train,train,COCO_P_A,50,own_field,0,5,0,COCO_P_A_43
COCO_P_A_51,test,train,COCO_P_A,51,own_field,1,9,0,COCO_P_A_43
COCO_P_A_52,test,train,COCO_P_A,52,own_field,0,2,0,COCO_P_A_43
COCO_P_A_53,train,train,COCO_P_A,53,own_field,1,13,0,COCO_P_A_43
COCO_P_A_54,train,train,COCO_P_A,54,own_field,0,4,0,COCO_P_A_43
COCO_P_A_55,val,train,COCO_P_A,55,own_field,1,8,0,COCO_P_A_43
COCO_P_A_56,test,train,COCO_P_A,56,own_field,0,12,0,COCO_P_A_43
COCO_P_A_57,train,train,COCO_P_A,57,own_field,0,6,0,COCO_P_A_43
COCO_P_A_58,train,train,COCO_P_A,58,own_field,0,9,0,COCO_P_A_43
COCO_P_A_59,train,train,COCO_P_A,59,own_field,0,9,0,COCO_P_A_43
COCO_P_A_6,train,val,COCO_P_A,6,own_field,0,6,0,COCO_P_A_2
COCO_P_A_60,train,train,COCO_P_A,60,own_field,0,12,0,COCO_RECORTE_133
COCO_P_A_61,train,train,COCO_P_A,61,own_field,0,13,0,COCO_RECORTE_133
COCO_P_A_62,train,train,COCO_P_A,62,own_field,0,7,0,COCO_RECORTE_133
COCO_P_A_63,train,train,COCO_P_A,63,own_field,0,9,0,COCO_RECORTE_133
COCO_P_A_64,train,train,COCO_P_A,64,own_field,0,8,0,COCO_RECORTE_133
COCO_P_A_65,train,train,COCO_P_A,65,own_field,0,10,0,COCO_RECORTE_133
COCO_P_A_66,train,train,COCO_P_A,66,own_field,0,4,0,COCO_RECORTE_133
COCO_P_A_67,test,train,COCO_P_A,67,own_field,0,9,0,COCO_RECORTE_133
COCO_P_A_68,train,train,COCO_P_A,68,own_field,0,8,0,COCO_RECORTE_133
COCO_P_A_69,train,train,COCO_P_A,69,own_field,0,9,0,COCO_RECORTE_133
COCO_P_A_7,train,val,COCO_P_A,7,own_field,2,5,0,COCO_P_A_2
COCO_P_A_70,train,train,COCO_P_A,70,own_field,0,5,0,COCO_RECORTE_133
COCO_P_A_71,train,train,COCO_P_A,71,own_field,0,4,0,COCO_RECORTE_133
COCO_P_A_72,train,train,COCO_P_A,72,own_field,0,3,0,COCO_RECORTE_133
COCO_P_A_73,train,train,COCO_P_A,73,own_field,2,4,0,COCO_RECORTE_133
COCO_P_A_74,train,train,COCO_P_A,74,own_field,1,8,0,COCO_RECORTE_133
COCO_P_A_75,train,train,COCO_P_A,75,own_field,1,9,0,COCO_RECORTE_133
COCO_P_A_76,train,train,COCO_P_A,76,own_field,0,4,0,COCO_RECORTE_133
COCO_P_A_77,val,train,COCO_P_A,77,own_field,0,3,0,COCO_RECORTE_133
COCO_P_A_8,train,val,COCO_P_A,8,own_field,0,10,0,COCO_P_A_2
COCO_P_A_9,val,val,COCO_P_A,9,own_field,0,4,0,COCO_P_A_2
COCO_RECORTE_1,train,train,COCO_RECORTE,1,own_field,0,2,0,COCO_RECORTE_1
COCO_RECORTE_10,val,val,COCO_RECORTE,10,own_field,0,3,0,ROYA_RECORTES_97
COCO_RECORTE_100,train,train,COCO_RECORTE,100,own_field,1,6,0,COCO_RECORTE_86
COCO_RECORTE_101,val,train,COCO_RECORTE,101,own_field,0,2,0,COCO_RECORTE_86
COCO_RECORTE_102,val,train,COCO_RECORTE,102,own_field,0,7,0,COCO_RECORTE_86
COCO_RECORTE_103,train,train,COCO_RECORTE,103,own_field,0,5,0,COCO_RECORTE_86
COCO_RECORTE_104,train,train,COCO_RECORTE,104,own_field,0,5,0,COCO_RECORTE_86
COCO_RECORTE_105,val,train,COCO_RECORTE,105,own_field,0,5,0,COCO_RECORTE_86
COCO_RECORTE_106,train,train,COCO_RECORTE,106,own_field,0,7,0,COCO_RECORTE_86
COCO_RECORTE_107,train,train,COCO_RECORTE,107,own_field,0,8,0,COCO_RECORTE_107
COCO_RECORTE_108,train,train,COCO_RECORTE,108,own_field,0,6,0,COCO_RECORTE_108
COCO_RECORTE_109,train,train,COCO_RECORTE,109,own_field,0,5,0,COCO_RECORTE_121
COCO_RECORTE_11,val,train,COCO_RECORTE,11,own_field,0,4,0,COCO_RECORTE_11
COCO_RECORTE_110,train,train,COCO_RECORTE,110,own_field,0,12,0,COCO_RECORTE_110
COCO_RECORTE_111,train,train,COCO_RECORTE,111,own_field,0,5,0,COCO_RECORTE_111
COCO_RECORTE_112,test,train,COCO_RECORTE,112,own_field,0,7,0,COCO_RECORTE_112
COCO_RECORTE_113,train,val,COCO_RECORTE,113,own_field,0,8,0,COCO_RECORTE_12
COCO_RECORTE_114,train,train,COCO_RECORTE,114,own_field,0,6,0,COCO_RECORTE_121
COCO_RECORTE_115,train,train,COCO_RECORTE,115,own_field,0,8,0,COCO_RECORTE_121
COCO_RECORTE_116,train,train,COCO_RECORTE,116,own_field,1,7,0,COCO_RECORTE_121
COCO_RECORTE_117,train,train,COCO_RECORTE,117,own_field,0,10,0,COCO_RECORTE_121
COCO_RECORTE_118,test,train,COCO_RECORTE,118,own_field,0,7,0,COCO_RECORTE_121
COCO_RECORTE_119,train,train,COCO_RECORTE,119,own_field,0,7,0,COCO_RECORTE_121
COCO_RECORTE_12,val,val,COCO_RECORTE,12,own_field,0,1,0,COCO_RECORTE_12
COCO_RECORTE_120,test,train,COCO_RECORTE,120,own_field,0,11,0,COCO_RECORTE_121
COCO_RECORTE_121,test,train,COCO_RECORTE,121,own_field,0,6,0,COCO_RECORTE_121
COCO_RECORTE_122,test,train,COCO_RECORTE,122,own_field,0,16,0,COCO_RECORTE_124
COCO_RECORTE_123,train,train,COCO_RECORTE,123,own_field,0,9,0,COCO_RECORTE_124
COCO_RECORTE_124,test,train,COCO_RECORTE,124,own_field,0,5,0,COCO_RECORTE_124
COCO_RECORTE_125,train,train,COCO_RECORTE,125,own_field,0,7,0,COCO_RECORTE_124
COCO_RECORTE_126,train,train,COCO_RECORTE,126,own_field,0,7,0,COCO_RECORTE_126
COCO_RECORTE_127,val,train,COCO_RECORTE,127,own_field,0,7,0,COCO_P_A_43
COCO_RECORTE_128,train,train,COCO_RECORTE,128,own_field,0,4,0,COCO_RECORTE_128
COCO_RECORTE_129,train,train,COCO_RECORTE,129,own_field,0,4,0,COCO_RECORTE_129
COCO_RECORTE_13,test,train,COCO_RECORTE,13,own_field,0,3,0,COCO_RECORTE_13
COCO_RECORTE_130,train,train,COCO_RECORTE,130,own_field,0,8,0,COCO_RECORTE_130
