crop_stem,crop_split,crop_prefix,parent_stem,parent_split,parent_prefix,inliers,crop_containment_in_parent,area_ratio,evidence_type
COCO_RECORTE_48,train,COCO_RECORTE,COCO_M_A_80,train,COCO_M_A,163,1.0,2.4107142857142856,sift_containment
COCO_RECORTE_49,train,COCO_RECORTE,COCO_M_A_80,train,COCO_M_A,71,1.0,4.21875,sift_containment
COCO_RECORTE_5,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_50,train,COCO_RECORTE,COCO_M_A_84,val,COCO_M_A,105,1.0,2.625,sift_containment
COCO_RECORTE_51,train,COCO_RECORTE,COCO_M_A_84,val,COCO_M_A,66,1.0,1.875,sift_containment
COCO_RECORTE_52,train,COCO_RECORTE,COCO_M_A_90,test,COCO_M_A,68,1.0,2.1875,sift_containment
COCO_RECORTE_53,train,COCO_RECORTE,COCO_M_A_91,val,COCO_M_A,54,1.0,2.5,sift_containment
COCO_RECORTE_54,train,COCO_RECORTE,MINEIRO_122,train,MINEIRO,32,1.0,1.875,sift_containment
COCO_RECORTE_55,train,COCO_RECORTE,MINEIRO_122,train,MINEIRO,35,1.0,2.142857142857143,sift_containment
COCO_RECORTE_57,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_59,train,COCO_RECORTE,COCO_Muy_A_53,train,COCO_Muy_A,39,1.0,3.0,sift_containment
COCO_RECORTE_6,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_60,train,COCO_RECORTE,COCO_Muy_A_53,train,COCO_Muy_A,95,1.0,2.5,sift_containment
COCO_RECORTE_61,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_62,train,COCO_RECORTE,COCO_Muy_A_54,test,COCO_Muy_A,63,1.0,3.0,sift_containment
COCO_RECORTE_64,train,COCO_RECORTE,COCO_Muy_A_54,test,COCO_Muy_A,81,1.0,2.5,sift_containment
COCO_RECORTE_65,train,COCO_RECORTE,COCO_Muy_A_55,test,COCO_Muy_A,109,1.0,2.142857142857143,sift_containment
COCO_RECORTE_67,train,COCO_RECORTE,COCO_Muy_A_56,train,COCO_Muy_A,77,1.0,2.625,sift_containment
COCO_RECORTE_68,train,COCO_RECORTE,COCO_Muy_A_56,train,COCO_Muy_A,111,1.0,2.625,sift_containment
COCO_RECORTE_69,train,COCO_RECORTE,COCO_Muy_A_56,train,COCO_Muy_A,145,1.0,1.640625,sift_containment
COCO_RECORTE_7,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_70,train,COCO_RECORTE,COCO_Muy_A_56,train,COCO_Muy_A,152,1.0,1.640625,sift_containment
COCO_RECORTE_71,train,COCO_RECORTE,COCO_Muy_A_56,train,COCO_Muy_A,66,1.0,2.1875,sift_containment
COCO_RECORTE_72,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_73,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_74,train,COCO_RECORTE,COCO_Muy_A_58,val,COCO_Muy_A,129,1.0,1.875,sift_containment
COCO_RECORTE_75,train,COCO_RECORTE,COCO_Muy_A_58,val,COCO_Muy_A,100,1.0,2.1875,sift_containment
COCO_RECORTE_76,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_77,train,COCO_RECORTE,COCO_Muy_A_59,val,COCO_Muy_A,125,1.0,2.6785714285714284,sift_containment
COCO_RECORTE_78,train,COCO_RECORTE,COCO_Muy_A_59,val,COCO_Muy_A,100,1.0,3.125,sift_containment
COCO_RECORTE_80,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_81,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_83,train,COCO_RECORTE,COCO_Muy_A_64,train,COCO_Muy_A,96,1.0,1.875,sift_containment
COCO_RECORTE_85,train,COCO_RECORTE,COCO_Muy_A_65,val,COCO_Muy_A,42,1.0,2.34375,sift_containment
COCO_RECORTE_89,train,COCO_RECORTE,COCO_Muy_A_66,train,COCO_Muy_A,82,1.0,2.142857142857143,sift_containment
COCO_RECORTE_90,train,COCO_RECORTE,COCO_Muy_A_67,train,COCO_Muy_A,144,1.0,2.5,sift_containment
COCO_RECORTE_92,train,COCO_RECORTE,COCO_Muy_A_67,train,COCO_Muy_A,329,1.0,2.5,sift_containment
COCO_RECORTE_93,train,COCO_RECORTE,COCO_Muy_A_68,train,COCO_Muy_A,58,1.0,2.34375,sift_containment
COCO_RECORTE_94,train,COCO_RECORTE,COCO_Muy_A_68,train,COCO_Muy_A,50,1.0,3.75,sift_containment
COCO_RECORTE_95,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_96,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_98,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_1,train,MINADO_RECORTES,MINEIRO_96,val,MINEIRO,87,1.0,2.2280647676379393,sift_containment
MINADO_RECORTES_100,train,MINADO_RECORTES,MINEIRO_2,train,MINEIRO,41,1.0,1.8597752468878883,sift_containment
MINADO_RECORTES_101,train,MINADO_RECORTES,MINEIRO_35,train,MINEIRO,132,1.0,2.0388252862120457,sift_containment
MINADO_RECORTES_102,train,MINADO_RECORTES,MINEIRO_35,train,MINEIRO,135,1.0,2.0388252862120457,sift_containment
MINADO_RECORTES_104,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_105,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_106,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_107,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_108,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_110,train,MINADO_RECORTES,MINADOR_27,train,MINADOR,302,1.0,1.4226283738412973,sift_containment
MINADO_RECORTES_112,train,MINADO_RECORTES,MINADOR_58,train,MINADOR,248,1.0,2.681430495286548,sift_containment
MINADO_RECORTES_113,train,MINADO_RECORTES,MINEIRO_146,train,MINEIRO,106,1.0,1.1034358899527439,sift_containment
MINADO_RECORTES_114,train,MINADO_RECORTES,MINEIRO_146,train,MINEIRO,119,1.0,1.1034358899527439,sift_containment
MINADO_RECORTES_115,train,MINADO_RECORTES,MINEIRO_169,test,MINEIRO,128,1.0,1.3315453695802348,sift_containment
MINADO_RECORTES_116,train,MINADO_RECORTES,MINEIRO_169,test,MINEIRO,131,1.0,1.3315453695802348,sift_containment
MINADO_RECORTES_117,train,MINADO_RECORTES,MINEIRO_35,train,MINEIRO,136,1.0,2.0388252862120457,sift_containment
MINADO_RECORTES_118,train,MINADO_RECORTES,MINEIRO_35,train,MINEIRO,130,1.0,2.0388252862120457,sift_containment
MINADO_RECORTES_119,train,MINADO_RECORTES,MINEIRO_131,train,MINEIRO,63,1.0,1.2605985996768485,sift_containment
MINADO_RECORTES_120,train,MINADO_RECORTES,MINEIRO_131,train,MINEIRO,62,1.0,1.2605985996768485,sift_containment
MINADO_RECORTES_121,train,MINADO_RECORTES,MINEIRO_21,val,MINEIRO,54,1.0,1.2846770273025232,sift_containment
MINADO_RECORTES_122,train,MINADO_RECORTES,MINEIRO_21,val,MINEIRO,55,1.0,1.2846770273025232,sift_containment
MINADO_RECORTES_123,train,MINADO_RECORTES,MINADOR_16,test,MINADOR,87,1.0,1.5730854904370535,sift_containment
MINADO_RECORTES_124,train,MINADO_RECORTES,MINADOR_16,test,MINADOR,88,1.0,1.5730854904370535,sift_containment
MINADO_RECORTES_125,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_127,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_13,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_130,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_15,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_17,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_18,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_19,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_20,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_21,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_23,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_24,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_26,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_27,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_28,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_30,train,MINADO_RECORTES,MINADOR_4,train,MINADOR,85,1.0,3.922119374401532,sift_containment
MINADO_RECORTES_31,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_33,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_34,train,MINADO_RECORTES,MINEIRO_72,val,MINEIRO,110,1.0,1.2094369149909943,sift_containment
MINADO_RECORTES_36,train,MINADO_RECORTES,MINEIRO_87,train,MINEIRO,60,1.0,1.1926478616924476,sift_containment
MINADO_RECORTES_37,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_38,train,MINADO_RECORTES,MINADOR_11,test,MINADOR,56,1.0,2.9072325928028957,sift_containment
MINADO_RECORTES_39,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_41,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_42,train,MINADO_RECORTES,MINADOR_26,train,MINADOR,62,1.0,3.5587820747977528,sift_containment
MINADO_RECORTES_44,train,MINADO_RECORTES,MINEIRO_112,test,MINEIRO,155,1.0,2.135622824816535,sift_containment
MINADO_RECORTES_45,train,MINADO_RECORTES,MINADOR_64,val,MINADOR,48,1.0,1.695484542422594,sift_containment
MINADO_RECORTES_47,train,MINADO_RECORTES,MINEIRO_186,train,MINEIRO,91,1.0,1.1334239903861358,sift_containment
MINADO_RECORTES_5,train,MINADO_RECORTES,MINEIRO_76,test,MINEIRO,75,1.0,1.7662722212439943,sift_containment
MINADO_RECORTES_50,train,MINADO_RECORTES,MINEIRO_37,train,MINEIRO,153,1.0,2.59909471635856,sift_containment
MINADO_RECORTES_52,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_54,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_55,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_56,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_58,train,MINADO_RECORTES,MINEIRO_97,train,MINEIRO,145,1.0,1.7476390943224485,sift_containment
MINADO_RECORTES_59,train,MINADO_RECORTES,MINEIRO_81,train,MINEIRO,84,1.0,2.321227863046045,sift_containment
MINADO_RECORTES_6,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_60,train,MINADO_RECORTES,MINEIRO_66,test,MINEIRO,68,1.0,1.8642614942310756,sift_containment
MINADO_RECORTES_62,train,MINADO_RECORTES,MINEIRO_139,train,MINEIRO,82,1.0,2.462722462722463,sift_containment
MINADO_RECORTES_64,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_65,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_66,train,MINADO_RECORTES,MINEIRO_121,train,MINEIRO,158,1.0,1.5398496240601505,sift_containment
MINADO_RECORTES_67,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_68,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_7,train,MINADO_RECORTES,MINEIRO_23,train,MINEIRO,67,1.0,1.6639415020565684,sift_containment
MINADO_RECORTES_70,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_71,train,MINADO_RECORTES,MINEIRO_62,test,MINEIRO,176,0.9839637,1.5094664107485605,sift_containment
MINADO_RECORTES_73,train,MINADO_RECORTES,MINEIRO_103,train,MINEIRO,47,1.0,2.4028040535585964,sift_containment
MINADO_RECORTES_74,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_75,train,MINADO_RECORTES,SANAS_NUEVAS_455,train,SANAS_NUEVAS,31,1.0,3.321337555023554,sift_containment
MINADO_RECORTES_76,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_77,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_78,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_79,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_80,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_82,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_83,train,MINADO_RECORTES,MINEIRO_6,train,MINEIRO,63,1.0,1.704961704961705,sift_containment
MINADO_RECORTES_84,train,MINADO_RECORTES,MINEIRO_36,train,MINEIRO,126,1.0,1.2926572690932043,sift_containment
MINADO_RECORTES_87,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_89,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_9,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_91,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_92,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_93,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_94,train,MINADO_RECORTES,,,,0,0.0,0.0,no_parent_found
MINADO_RECORTES_97,train,MINADO_RECORTES,MINEIRO_27,train,MINEIRO,35,1.0,1.625128120350471,sift_containment
MINADO_RECORTES_99,train,MINADO_RECORTES,MINEIRO_131,train,MINEIRO,70,1.0,1.6612140056779776,sift_containment
ROYA_RECORTES_10,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_101,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_103,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_104,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_106,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_107,train,ROYA_RECORTES,ROYA_MA_20,test,ROYA_MA,78,1.0,0.7,sift_containment
ROYA_RECORTES_108,train,ROYA_RECORTES,ROYA_MA_54,train,ROYA_MA,43,1.0,0.8181818181818182,sift_containment
ROYA_RECORTES_109,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_110,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_12,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_13,train,ROYA_RECORTES,ROYA_FONDO_14,test,ROYA_FONDO,39,1.0,1.4285714285714286,sift_containment
ROYA_RECORTES_14,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_15,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_16,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_17,train,ROYA_RECORTES,ROYA_FONDO_7,train,ROYA_FONDO,197,1.0,0.6923076923076923,sift_containment
ROYA_RECORTES_18,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_19,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_2,train,ROYA_RECORTES,ROYA_FONDO_7,train,ROYA_FONDO,43,1.0,0.9,sift_containment
ROYA_RECORTES_20,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_21,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_23,train,ROYA_RECORTES,ROYA_FONDO_9,train,ROYA_FONDO,59,1.0,0.6428571428571429,sift_containment
ROYA_RECORTES_24,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_25,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_26,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_27,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_29,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_3,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_31,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_33,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_35,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_39,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_41,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_42,train,ROYA_RECORTES,MINEIRO_53,train,MINEIRO,47,1.0,0.6153846153846154,sift_containment
ROYA_RECORTES_44,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_45,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_46,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_49,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_50,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_51,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_53,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_54,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_57,train,ROYA_RECORTES,ROYA_MA_2,train,ROYA_MA,40,1.0,0.6153846153846154,sift_containment
ROYA_RECORTES_58,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_59,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_6,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_60,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_62,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_64,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_65,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_67,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_69,train,ROYA_RECORTES,ROYA_Muy_A_19,val,ROYA_Muy_A,55,1.0,0.6363636363636364,sift_containment
ROYA_RECORTES_7,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_71,train,ROYA_RECORTES,ROYA_FONDO_33,train,ROYA_FONDO,60,1.0,0.7692307692307693,sift_containment
ROYA_RECORTES_72,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_73,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_74,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_76,train,ROYA_RECORTES,ROYA_Muy_A_3,train,ROYA_Muy_A,38,1.0,0.6363636363636364,sift_containment
ROYA_RECORTES_77,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_8,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_80,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_81,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
ROYA_RECORTES_82,train,ROYA_RECORTES,,,,0,0.0,0.0,no_parent_found
