filepath,split,stem,phash,phash_flip,dhash
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_62.jpg,train,COCO_M_A_62,14028551435331383737,10951127434869368012,15681030489428451134
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_63.jpg,train,COCO_M_A_63,15355426349937035148,9244829787731972809,14323422806404194205
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_67.jpg,train,COCO_M_A_67,10993637499273530681,15980295789080057956,218221511832424185
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_68.jpg,train,COCO_M_A_68,13726115096257667202,16944971309476408235,17424937735949939602
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_69.jpg,train,COCO_M_A_69,13896533136578297476,10704829917581069265,3899077603503258041
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_70.jpg,train,COCO_M_A_70,18302340817982957148,12298115984175460873,8430414943672886424
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_71.jpg,train,COCO_M_A_71,15723219117636951493,10331623883302819986,5675427451961321030
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_72.jpg,train,COCO_M_A_72,16803100401251145358,13575484923259716569,4855848486022479100
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_73.jpg,train,COCO_M_A_73,12554494660528483157,18117929854082216448,11295239877315549596
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_74.jpg,train,COCO_M_A_74,11723018524723791198,17790857254533665291,14445033537331042612
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_75.jpg,train,COCO_M_A_75,10191710150297859429,15574977165918888112,5048268585257733508
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_78.jpg,train,COCO_M_A_78,12440908325024990069,18010925571630290466,6455936841872880280
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_79.jpg,train,COCO_M_A_79,13900988868745339312,10502159778169283809,14131758103607002409
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_8.jpg,train,COCO_M_A_8,16883580681719999651,13698774036144994790,13614646625593258208
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_80.jpg,train,COCO_M_A_80,16570348927223206540,13303811257433804697,9865689584764080228
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_82.jpg,train,COCO_M_A_82,15003577621088371197,9611313892540830888,8410229463090450030
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_83.jpg,train,COCO_M_A_83,18083193365031554305,12511349251327742036,14754711448707616484
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_85.jpg,train,COCO_M_A_85,13906693232445778027,10784760484345625916,16112505197810032220
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_86.jpg,train,COCO_M_A_86,12083968465810508893,16350235015633508616,12802409113134991784
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_87.jpg,train,COCO_M_A_87,10646308772604986190,14333299796363417115,15111181363089445671
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_88.jpg,train,COCO_M_A_88,17666096957249152389,11565174334364315856,16421797633548091263
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_93.jpg,train,COCO_M_A_93,9983683483331118648,16129776670251323721,9511613815166604926
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_94.jpg,train,COCO_M_A_94,10570135426759891378,14332140101382848544,7377744557393420949
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_95.jpg,train,COCO_M_A_95,12163282171039699631,17981177334777807802,5640930875948158008
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_97.jpg,train,COCO_M_A_97,13450889308627333386,17005167343988450330,17929097176681455181
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_98.jpg,train,COCO_M_A_98,10633535738929360309,14322780794233909472,5721655338133901941
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_99.jpg,train,COCO_M_A_99,9999184415418890904,16109763309158098757,10996697436122301636
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_1.jpg,train,COCO_Muy_A_1,12303917520006103647,18122514170522506762,1605325807511059544
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_100.jpg,train,COCO_Muy_A_100,14722472238266214178,11026482218774917717,14869512804605218691
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_101.jpg,train,COCO_Muy_A_101,16924675901850950264,12652250014456860457,15634512638342654114
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_102.jpg,train,COCO_Muy_A_102,18251629780649786529,12114548586000640500,16643326136530559224
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_105.jpg,train,COCO_Muy_A_105,10853370051393065802,14108571243690116109,12883536025360771685
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_106.jpg,train,COCO_Muy_A_106,10183601642733622561,15566268698904596596,12510802985158790248
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_107.jpg,train,COCO_Muy_A_107,18044745741381969753,12627677674723471884,8717549197697532884
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_108.jpg,train,COCO_Muy_A_108,10616526128176465259,14267455531165274302,17213746302248281748
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_109.jpg,train,COCO_Muy_A_109,15528479055956800039,9427555992309376886,16416521344587250151
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_11.jpg,train,COCO_Muy_A_11,15327273742324584503,9358549431193479970,17817299787780168734
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_110.jpg,train,COCO_Muy_A_110,17372828126884806080,11839042543058036883,7795497198940336341
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_114.jpg,train,COCO_Muy_A_114,16154857455653681069,13070783227245621496,3197688211492469884
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_12.jpg,train,COCO_Muy_A_12,16186322748314704457,13111117277339193180,7451568944029880138
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_13.jpg,train,COCO_Muy_A_13,13358452817822272881,17021239732128552996,3486033368099910119
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_15.jpg,train,COCO_Muy_A_15,14321480931476892986,10634487811402807919,2043605474860437896
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_16.jpg,train,COCO_Muy_A_16,13784082968637981840,16870399784826474949,15048257703178715281
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_2.jpg,train,COCO_Muy_A_2,18415832483234188315,9423073340938475854,10535955205050462940
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_20.jpg,train,COCO_Muy_A_20,15690334188233258049,10298068260296991510,12652194385455943195
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_21.jpg,train,COCO_Muy_A_21,11706679454048834689,17808129738358949332,4887023590240183348
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_22.jpg,train,COCO_Muy_A_22,14586653502637916002,11329756243291400759,13320693382310750173
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_23.jpg,train,COCO_Muy_A_23,13677924698907431080,16754662053720753661,7611613308162772211
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_24.jpg,train,COCO_Muy_A_24,16566045549730223819,12732589824393937822,15309303557403012533
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_25.jpg,train,COCO_Muy_A_25,13679202460124073320,16898384844848576573,1023046647437444262
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_26.jpg,train,COCO_Muy_A_26,11001532788870165621,14841646232666796320,10091876032345998882
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_27.jpg,train,COCO_Muy_A_27,12496313062245456402,17887884100627566407,13898355430020657603
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_3.jpg,train,COCO_Muy_A_3,16965757736012531648,13701972689311994525,13473352506377293534
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_31.jpg,train,COCO_Muy_A_31,10538879903108298757,14363890413848276337,12980046234388143015
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_35.jpg,train,COCO_Muy_A_35,13575470123725262489,16731039069735656396,3526530442484376559
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_36.jpg,train,COCO_Muy_A_36,16881610229857161489,13768298297740069988,11292891483764218084
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_43.jpg,train,COCO_Muy_A_43,18305358326996790592,12347998526476957701,8128464402674119410
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_44.jpg,train,COCO_Muy_A_44,10367541902363212099,15750703300300991510,6357996474831902661
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_45.jpg,train,COCO_Muy_A_45,12709076132419468264,17080640722706935481,16249981028765422944
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_49.jpg,train,COCO_Muy_A_49,15294106115388894272,9325478388744796567,16107035279196566347
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_5.jpg,train,COCO_Muy_A_5,10670028345640342557,13927341628772155737,226098507930634424
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_50.jpg,train,COCO_Muy_A_50,11357376855113815262,14829499553851245007,2577972058764289747
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_52.jpg,train,COCO_Muy_A_52,17723088535426171304,11574385502360828157,10498288073683219632
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_53.jpg,train,COCO_Muy_A_53,16879637911558741552,13769140592701967205,8680931269243894008
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_56.jpg,train,COCO_Muy_A_56,17187285113540507840,13461494490173122961,15570174259945200253
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_57.jpg,train,COCO_Muy_A_57,13783672541659153462,18022330870030094691,16844828856426279634
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_60.jpg,train,COCO_Muy_A_60,18275818900209445449,12174801134536359708,8352449541035320763
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_62.jpg,train,COCO_Muy_A_62,17427455642663334983,11857863228380309778,8573415262332728761
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_64.jpg,train,COCO_Muy_A_64,17942956088491837969,11842068068008744772,2970701573194051056
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_66.jpg,train,COCO_Muy_A_66,18343121829535883812,12311338670495261553,11500957823284725472
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_67.jpg,train,COCO_Muy_A_67,14178593572909220080,10489216336187643301,15581919357523849652
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_68.jpg,train,COCO_Muy_A_68,17021520147250584982,13289492714536290499,17361606193889212663
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_69.jpg,train,COCO_Muy_A_69,13737270604229545452,17002710929203386521,10075331245339896533
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_71.jpg,train,COCO_Muy_A_71,12297852332825211534,18446298308735666128,16764702836933407956
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_72.jpg,train,COCO_Muy_A_72,9928307869354127960,15968988241697507085,872649579091404437
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_73.jpg,train,COCO_Muy_A_73,16877122791513182873,13790796217294161612,16208720019716889828
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_74.jpg,train,COCO_Muy_A_74,11125766218526578024,14926050919161692223,12682702005778916868
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_75.jpg,train,COCO_Muy_A_75,15562252977565362640,9416305473253620865,14101768288202723799
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_77.jpg,train,COCO_Muy_A_77,18397808554622451756,12251884674602718585,12811981000249638057
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_78.jpg,train,COCO_Muy_A_78,12314430601525932436,18352432598306940097,12771295504560820804
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_8.jpg,train,COCO_Muy_A_8,18056554105520067255,12664281718160639970,4855409164160397559
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_81.jpg,train,COCO_Muy_A_81,9873895048349842728,15299372725524768893,9656576565722811534
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_83.jpg,train,COCO_Muy_A_83,17449973065403247826,12065027990890342789,15453775518416335670
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_86.jpg,train,COCO_Muy_A_86,18359070141765785348,12366270313409495633,6434754348922722515
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_87.jpg,train,COCO_Muy_A_87,11479317177436644788,14563495720435052705,10128188311575053797
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_88.jpg,train,COCO_Muy_A_88,15583060722785943773,10166087256975791232,10839653920562671041
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_89.jpg,train,COCO_Muy_A_89,18030871118325180784,12638174318971993125,9291736126370414591
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_9.jpg,train,COCO_Muy_A_9,10541096178998295924,14347389196929231137,3172652949239337619
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_91.jpg,train,COCO_Muy_A_91,14964962196263207961,11167641197973750636,9535831921738368716
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_92.jpg,train,COCO_Muy_A_92,13873371015464884148,10942421334619734753,11253979987775484489
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_93.jpg,train,COCO_Muy_A_93,14358470874382916214,10526843598861209379,4340403756527561193
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_96.jpg,train,COCO_Muy_A_96,18404173833404256436,12267127822086882529,18226341422996637695
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_99.jpg,train,COCO_Muy_A_99,15485947592901797271,9348477892170182855,3204139420331229795
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_1.jpg,train,COCO_P_A_1,14045882556486939498,10788841922175120703,16108300812064431783
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_14.jpg,train,COCO_P_A_14,14897042046457168455,11234714727986108178,14685847618449218748
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_15.jpg,train,COCO_P_A_15,13072301870793720565,17311679049316226984,16211954568835511553
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_16.jpg,train,COCO_P_A_16,18080399323488985391,12591833872558224490,18369837682608814820
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_18.jpg,train,COCO_P_A_18,13287804276854003918,16514865601380437395,17357120082358095871
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_20.jpg,train,COCO_P_A_20,16095645365366435889,14563072737888792420,14165675290765085128
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_21.jpg,train,COCO_P_A_21,15631781269517902960,10212593212949618980,15464900972535073645
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_22.jpg,train,COCO_P_A_22,16226915628480326694,12998726214143752563,17433989398021340669
