stem,split,session_id,timestamp_used,session_source
COCO_P_A_15,train,unplaceable,,unplaceable
COCO_P_A_16,train,unplaceable,,unplaceable
COCO_P_A_18,train,unplaceable,,unplaceable
COCO_P_A_20,train,unplaceable,,unplaceable
COCO_P_A_21,train,unplaceable,,unplaceable
COCO_P_A_22,train,unplaceable,,unplaceable
COCO_P_A_24,train,unplaceable,,unplaceable
COCO_P_A_25,train,unplaceable,,unplaceable
COCO_P_A_26,train,unplaceable,,unplaceable
COCO_P_A_27,train,unplaceable,,unplaceable
COCO_P_A_3,train,unplaceable,,unplaceable
COCO_P_A_31,train,unplaceable,,unplaceable
COCO_P_A_32,train,unplaceable,,unplaceable
COCO_P_A_34,train,unplaceable,,unplaceable
COCO_P_A_35,train,unplaceable,,unplaceable
COCO_P_A_36,train,unplaceable,,unplaceable
COCO_P_A_37,train,unplaceable,,unplaceable
COCO_P_A_40,train,unplaceable,,unplaceable
COCO_P_A_41,train,unplaceable,,unplaceable
COCO_P_A_42,train,unplaceable,,unplaceable
COCO_P_A_43,train,unplaceable,,unplaceable
COCO_P_A_44,train,unplaceable,,unplaceable
COCO_P_A_45,train,unplaceable,,unplaceable
COCO_P_A_46,train,unplaceable,,unplaceable
COCO_P_A_47,train,unplaceable,,unplaceable
COCO_P_A_50,train,unplaceable,,unplaceable
COCO_P_A_53,train,unplaceable,,unplaceable
COCO_P_A_54,train,unplaceable,,unplaceable
COCO_P_A_57,train,unplaceable,,unplaceable
COCO_P_A_58,train,unplaceable,,unplaceable
COCO_P_A_59,train,unplaceable,,unplaceable
COCO_P_A_6,train,unplaceable,,unplaceable
COCO_P_A_60,train,unplaceable,,unplaceable
COCO_P_A_61,train,unplaceable,,unplaceable
COCO_P_A_62,train,unplaceable,,unplaceable
COCO_P_A_63,train,unplaceable,,unplaceable
COCO_P_A_64,train,unplaceable,,unplaceable
COCO_P_A_65,train,unplaceable,,unplaceable
COCO_P_A_66,train,unplaceable,,unplaceable
COCO_P_A_68,train,unplaceable,,unplaceable
COCO_P_A_69,train,unplaceable,,unplaceable
COCO_P_A_7,train,unplaceable,,unplaceable
COCO_P_A_70,train,unplaceable,,unplaceable
COCO_P_A_71,train,unplaceable,,unplaceable
COCO_P_A_72,train,unplaceable,,unplaceable
COCO_P_A_73,train,unplaceable,,unplaceable
COCO_P_A_74,train,unplaceable,,unplaceable
COCO_P_A_75,train,unplaceable,,unplaceable
COCO_P_A_76,train,unplaceable,,unplaceable
COCO_P_A_8,train,unplaceable,,unplaceable
COCO_RECORTE_1,train,unplaceable,,unplaceable
COCO_RECORTE_100,train,unplaceable,,unplaceable
COCO_RECORTE_103,train,unplaceable,,unplaceable
COCO_RECORTE_104,train,unplaceable,,unplaceable
COCO_RECORTE_106,train,unplaceable,,unplaceable
COCO_RECORTE_107,train,unplaceable,,unplaceable
COCO_RECORTE_108,train,unplaceable,,unplaceable
COCO_RECORTE_109,train,unplaceable,,unplaceable
COCO_RECORTE_110,train,unplaceable,,unplaceable
COCO_RECORTE_111,train,unplaceable,,unplaceable
COCO_RECORTE_113,train,unplaceable,,unplaceable
COCO_RECORTE_114,train,unplaceable,,unplaceable
COCO_RECORTE_115,train,unplaceable,,unplaceable
COCO_RECORTE_116,train,unplaceable,,unplaceable
COCO_RECORTE_117,train,unplaceable,,unplaceable
COCO_RECORTE_119,train,unplaceable,,unplaceable
COCO_RECORTE_123,train,unplaceable,,unplaceable
COCO_RECORTE_125,train,unplaceable,,unplaceable
COCO_RECORTE_126,train,unplaceable,,unplaceable
COCO_RECORTE_128,train,unplaceable,,unplaceable
COCO_RECORTE_129,train,unplaceable,,unplaceable
COCO_RECORTE_130,train,unplaceable,,unplaceable
COCO_RECORTE_132,train,unplaceable,,unplaceable
COCO_RECORTE_135,train,unplaceable,,unplaceable
COCO_RECORTE_136,train,unplaceable,,unplaceable
COCO_RECORTE_139,train,unplaceable,,unplaceable
COCO_RECORTE_14,train,unplaceable,,unplaceable
COCO_RECORTE_141,train,unplaceable,,unplaceable
COCO_RECORTE_142,train,unplaceable,,unplaceable
COCO_RECORTE_143,train,unplaceable,,unplaceable
COCO_RECORTE_146,train,unplaceable,,unplaceable
COCO_RECORTE_147,train,unplaceable,,unplaceable
COCO_RECORTE_148,train,unplaceable,,unplaceable
COCO_RECORTE_15,train,unplaceable,,unplaceable
COCO_RECORTE_150,train,unplaceable,,unplaceable
COCO_RECORTE_151,train,unplaceable,,unplaceable
COCO_RECORTE_152,train,unplaceable,,unplaceable
COCO_RECORTE_156,train,unplaceable,,unplaceable
COCO_RECORTE_16,train,unplaceable,,unplaceable
COCO_RECORTE_17,train,unplaceable,,unplaceable
COCO_RECORTE_18,train,unplaceable,,unplaceable
COCO_RECORTE_2,train,unplaceable,,unplaceable
COCO_RECORTE_22,train,unplaceable,,unplaceable
COCO_RECORTE_23,train,unplaceable,,unplaceable
COCO_RECORTE_24,train,unplaceable,,unplaceable
COCO_RECORTE_25,train,unplaceable,,unplaceable
COCO_RECORTE_26,train,unplaceable,,unplaceable
COCO_RECORTE_28,train,unplaceable,,unplaceable
COCO_RECORTE_29,train,unplaceable,,unplaceable
COCO_RECORTE_3,train,unplaceable,,unplaceable
COCO_RECORTE_30,train,unplaceable,,unplaceable
COCO_RECORTE_31,train,unplaceable,,unplaceable
COCO_RECORTE_33,train,unplaceable,,unplaceable
COCO_RECORTE_34,train,unplaceable,,unplaceable
COCO_RECORTE_35,train,unplaceable,,unplaceable
COCO_RECORTE_36,train,unplaceable,,unplaceable
COCO_RECORTE_4,train,unplaceable,,unplaceable
COCO_RECORTE_40,train,unplaceable,,unplaceable
COCO_RECORTE_41,train,unplaceable,,unplaceable
COCO_RECORTE_43,train,unplaceable,,unplaceable
COCO_RECORTE_44,train,unplaceable,,unplaceable
COCO_RECORTE_46,train,unplaceable,,unplaceable
COCO_RECORTE_47,train,unplaceable,,unplaceable
COCO_RECORTE_48,train,unplaceable,,unplaceable
COCO_RECORTE_49,train,unplaceable,,unplaceable
COCO_RECORTE_5,train,unplaceable,,unplaceable
COCO_RECORTE_50,train,unplaceable,,unplaceable
COCO_RECORTE_51,train,unplaceable,,unplaceable
COCO_RECORTE_52,train,unplaceable,,unplaceable
COCO_RECORTE_53,train,unplaceable,,unplaceable
COCO_RECORTE_54,train,unplaceable,,unplaceable
COCO_RECORTE_55,train,unplaceable,,unplaceable
COCO_RECORTE_57,train,unplaceable,,unplaceable
COCO_RECORTE_59,train,unplaceable,,unplaceable
COCO_RECORTE_6,train,unplaceable,,unplaceable
COCO_RECORTE_60,train,unplaceable,,unplaceable
COCO_RECORTE_61,train,unplaceable,,unplaceable
COCO_RECORTE_62,train,unplaceable,,unplaceable
COCO_RECORTE_64,train,unplaceable,,unplaceable
COCO_RECORTE_65,train,unplaceable,,unplaceable
COCO_RECORTE_67,train,unplaceable,,unplaceable
COCO_RECORTE_68,train,unplaceable,,unplaceable
COCO_RECORTE_69,train,unplaceable,,unplaceable
COCO_RECORTE_7,train,unplaceable,,unplaceable
COCO_RECORTE_70,train,unplaceable,,unplaceable
COCO_RECORTE_71,train,unplaceable,,unplaceable
COCO_RECORTE_72,train,unplaceable,,unplaceable
COCO_RECORTE_73,train,unplaceable,,unplaceable
COCO_RECORTE_74,train,unplaceable,,unplaceable
COCO_RECORTE_75,train,unplaceable,,unplaceable
COCO_RECORTE_76,train,unplaceable,,unplaceable
COCO_RECORTE_77,train,unplaceable,,unplaceable
COCO_RECORTE_78,train,unplaceable,,unplaceable
COCO_RECORTE_80,train,unplaceable,,unplaceable
COCO_RECORTE_81,train,unplaceable,,unplaceable
COCO_RECORTE_83,train,unplaceable,,unplaceable
COCO_RECORTE_85,train,unplaceable,,unplaceable
COCO_RECORTE_89,train,unplaceable,,unplaceable
COCO_RECORTE_90,train,unplaceable,,unplaceable
COCO_RECORTE_92,train,unplaceable,,unplaceable
COCO_RECORTE_93,train,unplaceable,,unplaceable
COCO_RECORTE_94,train,unplaceable,,unplaceable
COCO_RECORTE_95,train,unplaceable,,unplaceable
COCO_RECORTE_96,train,unplaceable,,unplaceable
COCO_RECORTE_98,train,unplaceable,,unplaceable
MINADO_RECORTES_1,train,unplaceable,,unplaceable
MINADO_RECORTES_100,train,unplaceable,,unplaceable
MINADO_RECORTES_101,train,unplaceable,,unplaceable
MINADO_RECORTES_102,train,unplaceable,,unplaceable
MINADO_RECORTES_104,train,unplaceable,,unplaceable
MINADO_RECORTES_105,train,unplaceable,,unplaceable
MINADO_RECORTES_106,train,unplaceable,,unplaceable
MINADO_RECORTES_107,train,unplaceable,,unplaceable
MINADO_RECORTES_108,train,unplaceable,,unplaceable
MINADO_RECORTES_110,train,unplaceable,,unplaceable
MINADO_RECORTES_112,train,unplaceable,,unplaceable
MINADO_RECORTES_113,train,unplaceable,,unplaceable
MINADO_RECORTES_114,train,unplaceable,,unplaceable
MINADO_RECORTES_115,train,unplaceable,,unplaceable
MINADO_RECORTES_116,train,unplaceable,,unplaceable
MINADO_RECORTES_117,train,unplaceable,,unplaceable
MINADO_RECORTES_118,train,unplaceable,,unplaceable
MINADO_RECORTES_119,train,unplaceable,,unplaceable
MINADO_RECORTES_120,train,unplaceable,,unplaceable
MINADO_RECORTES_121,train,unplaceable,,unplaceable
MINADO_RECORTES_122,train,unplaceable,,unplaceable
MINADO_RECORTES_123,train,unplaceable,,unplaceable
MINADO_RECORTES_124,train,unplaceable,,unplaceable
MINADO_RECORTES_125,train,unplaceable,,unplaceable
MINADO_RECORTES_127,train,unplaceable,,unplaceable
MINADO_RECORTES_13,train,unplaceable,,unplaceable
MINADO_RECORTES_130,train,unplaceable,,unplaceable
MINADO_RECORTES_15,train,unplaceable,,unplaceable
MINADO_RECORTES_17,train,unplaceable,,unplaceable
MINADO_RECORTES_18,train,unplaceable,,unplaceable
MINADO_RECORTES_19,train,unplaceable,,unplaceable
MINADO_RECORTES_20,train,unplaceable,,unplaceable
MINADO_RECORTES_21,train,unplaceable,,unplaceable
MINADO_RECORTES_23,train,unplaceable,,unplaceable
MINADO_RECORTES_24,train,unplaceable,,unplaceable
MINADO_RECORTES_26,train,unplaceable,,unplaceable
MINADO_RECORTES_27,train,unplaceable,,unplaceable
MINADO_RECORTES_28,train,unplaceable,,unplaceable
MINADO_RECORTES_30,train,unplaceable,,unplaceable
MINADO_RECORTES_31,train,unplaceable,,unplaceable
MINADO_RECORTES_33,train,unplaceable,,unplaceable
MINADO_RECORTES_34,train,unplaceable,,unplaceable
MINADO_RECORTES_36,train,unplaceable,,unplaceable
MINADO_RECORTES_37,train,unplaceable,,unplaceable
MINADO_RECORTES_38,train,unplaceable,,unplaceable
MINADO_RECORTES_39,train,unplaceable,,unplaceable
MINADO_RECORTES_41,train,unplaceable,,unplaceable
MINADO_RECORTES_42,train,unplaceable,,unplaceable
MINADO_RECORTES_44,train,unplaceable,,unplaceable
MINADO_RECORTES_45,train,unplaceable,,unplaceable
MINADO_RECORTES_47,train,unplaceable,,unplaceable
MINADO_RECORTES_5,train,unplaceable,,unplaceable
MINADO_RECORTES_50,train,unplaceable,,unplaceable
MINADO_RECORTES_52,train,unplaceable,,unplaceable
MINADO_RECORTES_54,train,unplaceable,,unplaceable
MINADO_RECORTES_55,train,unplaceable,,unplaceable
MINADO_RECORTES_56,train,unplaceable,,unplaceable
MINADO_RECORTES_58,train,unplaceable,,unplaceable
MINADO_RECORTES_59,train,unplaceable,,unplaceable
MINADO_RECORTES_6,train,unplaceable,,unplaceable
MINADO_RECORTES_60,train,unplaceable,,unplaceable
MINADO_RECORTES_62,train,unplaceable,,unplaceable
MINADO_RECORTES_64,train,unplaceable,,unplaceable
MINADO_RECORTES_65,train,unplaceable,,unplaceable
MINADO_RECORTES_66,train,unplaceable,,unplaceable
MINADO_RECORTES_67,train,unplaceable,,unplaceable
MINADO_RECORTES_68,train,unplaceable,,unplaceable
MINADO_RECORTES_7,train,unplaceable,,unplaceable
MINADO_RECORTES_70,train,unplaceable,,unplaceable
MINADO_RECORTES_71,train,unplaceable,,unplaceable
MINADO_RECORTES_73,train,unplaceable,,unplaceable
MINADO_RECORTES_74,train,unplaceable,,unplaceable
MINADO_RECORTES_75,train,unplaceable,,unplaceable
MINADO_RECORTES_76,train,unplaceable,,unplaceable
MINADO_RECORTES_77,train,unplaceable,,unplaceable
MINADO_RECORTES_78,train,unplaceable,,unplaceable
MINADO_RECORTES_79,train,unplaceable,,unplaceable
MINADO_RECORTES_80,train,unplaceable,,unplaceable
MINADO_RECORTES_82,train,unplaceable,,unplaceable
MINADO_RECORTES_83,train,unplaceable,,unplaceable
MINADO_RECORTES_84,train,unplaceable,,unplaceable
MINADO_RECORTES_87,train,unplaceable,,unplaceable
MINADO_RECORTES_89,train,unplaceable,,unplaceable
MINADO_RECORTES_9,train,unplaceable,,unplaceable
MINADO_RECORTES_91,train,unplaceable,,unplaceable
MINADO_RECORTES_92,train,unplaceable,,unplaceable
MINADO_RECORTES_93,train,unplaceable,,unplaceable
MINADO_RECORTES_94,train,unplaceable,,unplaceable
MINADO_RECORTES_97,train,unplaceable,,unplaceable
MINADO_RECORTES_99,train,unplaceable,,unplaceable
MINADOR_1,train,unplaceable,,unplaceable
MINADOR_10,train,unplaceable,,unplaceable
MINADOR_14,train,unplaceable,,unplaceable
MINADOR_2,train,unplaceable,,unplaceable
MINADOR_20,train,unplaceable,,unplaceable
MINADOR_22,train,unplaceable,,unplaceable
MINADOR_23,train,unplaceable,,unplaceable
MINADOR_24,train,unplaceable,,unplaceable
MINADOR_25,train,unplaceable,,unplaceable
MINADOR_26,train,unplaceable,,unplaceable
MINADOR_27,train,unplaceable,,unplaceable
MINADOR_28,train,unplaceable,,unplaceable
MINADOR_3,train,unplaceable,,unplaceable
MINADOR_30,train,unplaceable,,unplaceable
MINADOR_31,train,unplaceable,,unplaceable
MINADOR_33,train,unplaceable,,unplaceable
MINADOR_35,train,unplaceable,,unplaceable
MINADOR_36,train,unplaceable,,unplaceable
MINADOR_37,train,unplaceable,,unplaceable
MINADOR_38,train,unplaceable,,unplaceable
MINADOR_39,train,unplaceable,,unplaceable
MINADOR_4,train,unplaceable,,unplaceable
MINADOR_40,train,unplaceable,,unplaceable
MINADOR_41,train,unplaceable,,unplaceable
MINADOR_43,train,unplaceable,,unplaceable
MINADOR_44,train,unplaceable,,unplaceable
MINADOR_45,train,unplaceable,,unplaceable
MINADOR_46,train,unplaceable,,unplaceable
MINADOR_47,train,unplaceable,,unplaceable
MINADOR_48,train,unplaceable,,unplaceable
MINADOR_49,train,unplaceable,,unplaceable
MINADOR_50,train,unplaceable,,unplaceable
MINADOR_51,train,unplaceable,,unplaceable
MINADOR_53,train,unplaceable,,unplaceable
MINADOR_55,train,unplaceable,,unplaceable
MINADOR_58,train,unplaceable,,unplaceable
MINADOR_59,train,unplaceable,,unplaceable
MINADOR_60,train,unplaceable,,unplaceable
MINADOR_63,train,unplaceable,,unplaceable
MINADOR_65,train,unplaceable,,unplaceable
MINADOR_67,train,unplaceable,,unplaceable
MINADOR_68,train,unplaceable,,unplaceable
MINADOR_69,train,unplaceable,,unplaceable
MINADOR_7,train,unplaceable,,unplaceable
MINADOR_70,train,unplaceable,,unplaceable
MINADOR_73,train,unplaceable,,unplaceable
MINADOR_74,train,unplaceable,,unplaceable
MINADOR_75,train,unplaceable,,unplaceable
MINADOR_76,train,unplaceable,,unplaceable
MINADOR_78,train,unplaceable,,unplaceable
MINADOR_79,train,unplaceable,,unplaceable
MINADOR_8,train,unplaceable,,unplaceable
MINADOR_80,train,unplaceable,,unplaceable
MINADOR_81,train,unplaceable,,unplaceable
MINADOR_82,train,unplaceable,,unplaceable
MINADOR_83,train,unplaceable,,unplaceable
MINEIRO_0,train,unplaceable,,unplaceable
MINEIRO_10,train,unplaceable,,unplaceable
MINEIRO_100,train,unplaceable,,unplaceable
MINEIRO_101,train,unplaceable,,unplaceable
MINEIRO_102,train,unplaceable,,unplaceable
MINEIRO_103,train,unplaceable,,unplaceable
MINEIRO_104,train,unplaceable,,unplaceable
MINEIRO_105,train,unplaceable,,unplaceable
MINEIRO_106,train,unplaceable,,unplaceable
MINEIRO_107,train,unplaceable,,unplaceable
MINEIRO_109,train,unplaceable,,unplaceable
MINEIRO_11,train,unplaceable,,unplaceable
MINEIRO_113,train,unplaceable,,unplaceable
MINEIRO_115,train,unplaceable,,unplaceable
MINEIRO_117,train,unplaceable,,unplaceable
MINEIRO_118,train,unplaceable,,unplaceable
MINEIRO_119,train,unplaceable,,unplaceable
MINEIRO_12,train,unplaceable,,unplaceable
MINEIRO_121,train,unplaceable,,unplaceable
MINEIRO_122,train,unplaceable,,unplaceable
MINEIRO_123,train,unplaceable,,unplaceable
MINEIRO_124,train,unplaceable,,unplaceable
MINEIRO_125,train,unplaceable,,unplaceable
MINEIRO_126,train,unplaceable,,unplaceable
MINEIRO_127,train,unplaceable,,unplaceable
MINEIRO_128,train,unplaceable,,unplaceable
MINEIRO_129,train,unplaceable,,unplaceable
MINEIRO_13,train,unplaceable,,unplaceable
MINEIRO_131,train,unplaceable,,unplaceable
MINEIRO_133,train,unplaceable,,unplaceable
MINEIRO_134,train,unplaceable,,unplaceable
MINEIRO_135,train,unplaceable,,unplaceable
MINEIRO_136,train,unplaceable,,unplaceable
MINEIRO_137,train,unplaceable,,unplaceable
MINEIRO_138,train,unplaceable,,unplaceable
MINEIRO_139,train,unplaceable,,unplaceable
MINEIRO_14,train,unplaceable,,unplaceable
MINEIRO_142,train,unplaceable,,unplaceable
MINEIRO_144,train,unplaceable,,unplaceable
MINEIRO_146,train,unplaceable,,unplaceable
MINEIRO_149,train,unplaceable,,unplaceable
MINEIRO_15,train,unplaceable,,unplaceable
MINEIRO_151,train,unplaceable,,unplaceable
MINEIRO_152,train,unplaceable,,unplaceable
MINEIRO_153,train,unplaceable,,unplaceable
MINEIRO_155,train,unplaceable,,unplaceable
MINEIRO_157,train,unplaceable,,unplaceable
MINEIRO_158,train,unplaceable,,unplaceable
MINEIRO_159,train,unplaceable,,unplaceable
MINEIRO_16,train,unplaceable,,unplaceable
MINEIRO_160,train,unplaceable,,unplaceable
MINEIRO_161,train,unplaceable,,unplaceable
MINEIRO_162,train,unplaceable,,unplaceable
MINEIRO_163,train,unplaceable,,unplaceable
MINEIRO_165,train,unplaceable,,unplaceable
MINEIRO_166,train,unplaceable,,unplaceable
MINEIRO_167,train,unplaceable,,unplaceable
MINEIRO_168,train,unplaceable,,unplaceable
MINEIRO_170,train,unplaceable,,unplaceable
MINEIRO_173,train,unplaceable,,unplaceable
MINEIRO_175,train,unplaceable,,unplaceable
MINEIRO_177,train,unplaceable,,unplaceable
MINEIRO_178,train,unplaceable,,unplaceable
MINEIRO_18,train,unplaceable,,unplaceable
MINEIRO_180,train,unplaceable,,unplaceable
MINEIRO_181,train,unplaceable,,unplaceable
MINEIRO_182,train,unplaceable,,unplaceable
MINEIRO_183,train,unplaceable,,unplaceable
MINEIRO_184,train,unplaceable,,unplaceable
MINEIRO_185,train,unplaceable,,unplaceable
MINEIRO_186,train,unplaceable,,unplaceable
MINEIRO_188,train,unplaceable,,unplaceable
MINEIRO_189,train,unplaceable,,unplaceable
MINEIRO_19,train,unplaceable,,unplaceable
MINEIRO_190,train,unplaceable,,unplaceable
MINEIRO_192,train,unplaceable,,unplaceable
MINEIRO_2,train,unplaceable,,unplaceable
MINEIRO_22,train,unplaceable,,unplaceable
MINEIRO_23,train,unplaceable,,unplaceable
MINEIRO_24,train,unplaceable,,unplaceable
MINEIRO_25,train,unplaceable,,unplaceable
MINEIRO_26,train,unplaceable,,unplaceable
MINEIRO_27,train,unplaceable,,unplaceable
MINEIRO_28,train,unplaceable,,unplaceable
MINEIRO_29,train,unplaceable,,unplaceable
MINEIRO_30,train,unplaceable,,unplaceable
MINEIRO_31,train,unplaceable,,unplaceable
MINEIRO_34,train,unplaceable,,unplaceable
MINEIRO_35,train,unplaceable,,unplaceable
MINEIRO_36,train,unplaceable,,unplaceable
MINEIRO_37,train,unplaceable,,unplaceable
MINEIRO_38,train,unplaceable,,unplaceable
MINEIRO_39,train,unplaceable,,unplaceable
MINEIRO_4,train,unplaceable,,unplaceable
MINEIRO_40,train,unplaceable,,unplaceable
MINEIRO_41,train,unplaceable,,unplaceable
MINEIRO_43,train,unplaceable,,unplaceable
MINEIRO_45,train,unplaceable,,unplaceable
MINEIRO_46,train,unplaceable,,unplaceable
MINEIRO_47,train,unplaceable,,unplaceable
MINEIRO_48,train,unplaceable,,unplaceable
MINEIRO_49,train,unplaceable,,unplaceable
MINEIRO_5,train,unplaceable,,unplaceable
MINEIRO_51,train,unplaceable,,unplaceable
MINEIRO_53,train,unplaceable,,unplaceable
MINEIRO_54,train,unplaceable,,unplaceable
